"profile","pro_lat","pro_long","MeanAge20cm","MeanAge40cm","MeanAge60cm","MeanAge80cm","MeanAge100cm","TransitTime_20","TransitTime_40","TransitTime_60","TransitTime_80","TransitTime_100","Biome"
"Mattole_-124.3485_40.2792",40.2792,-124.3485,710.54539306603,1378.1505809824,2336.12361701258,2257.60962496894,2795.01086306679,43.2,86.7,122.5,132.7,108.4,"Mediterranean/Montane shrublands"
"Mattole_-124.3415_40.2774",40.2774,-124.3415,530.117410192128,1075.66408452837,1734.60567442106,2029.84910364286,2653.8264806483,43.2,86.7,122.8,132.9,108.7,"Mediterranean/Montane shrublands"
"BLS:35.1719,-102.0847_-102.0847_35.1719",35.1719,-102.0847,689.700097856317,2182.68225408384,4241.50252765243,7566.82612240388,13374.8006320279,15.6,26.4,49.8,67.3,104.1,"Temperate grasslands"
"DHS:36.0831,-102.54_-102.54_36.0831",36.0831,-102.54,1229.83505799872,2243.98280752952,2251.29081198135,2315.79757442995,2941.88791093306,15.7,21.2,31.5,44.5,70.2,"Temperate grasslands"
"MOS:38.9481,-91.995_-91.995_38.9481",38.9481,-91.995,755.420793448177,2110.17977409405,2547.64946926272,3860.26094206721,7418.19869337311,15.4,40.6,84.8,149.3,210.5,"Crops"
"COS:39.9442,-103.2931_-103.2931_39.9442",39.9442,-103.2931,762.388113504199,2767.64159020403,4405.25410801452,7518.44442429108,8887.72146271251,11.8,21.6,35.5,49.7,65.3,"Temperate grasslands"
"NES:40.8944,-97.0619_-97.0619_40.8944",40.8944,-97.0619,1366.85063009732,4891.56974113755,6284.28219380955,8031.75248283653,10892.2080206133,15.8,41.7,75.4,83.7,95.9,"Crops"
"IAS:41.1994,-93.6556_-93.6556_41.1994",41.1994,-93.6556,858.844689099227,2005.2577167507,3256.21452901067,5619.57712893895,10673.4167880472,28.1,61.3,105.4,123.5,124.9,"Crops"
"GCS:44.7222,-94.2998_-94.2998_44.7222",44.7222,-94.2998,2447.34103202821,4669.658597119,5581.95151462359,6905.39837971941,12020.1610630509,31.7,72.8,101.2,106.3,95.4,"Crops"
"MDS:46.745,-100.9953_-100.9953_46.745",46.745,-100.9953,832.952967967326,1641.91682570108,4172.33635586921,7628.02362933738,12074.6439754534,11.7,15.8,31.4,50.1,50.9,"Crops"
"MES:46.9542,-99.2792_-99.2792_46.9542",46.9542,-99.2792,777.149086195447,2105.74662812809,3357.1086698812,6824.76912148747,14441.4110418399,25.4,45.3,67.2,89.7,109.8,"Crops"
"MTS:47.6953,-104.68_-104.68_47.6953",47.6953,-104.68,1872.40975375885,2694.58116475325,6853.23109829155,15729.1670689203,15969.1197137948,19.8,39.6,56.1,76,89.9,"Crops"
"DOS:47.9317,-96.4497_-96.4497_47.9317",47.9317,-96.4497,2827.81284307984,5184.05935468275,7099.57382598556,9680.34869019676,13212.2152720845,38.4,54.2,47.5,47.9,57.8,"Crops"
"ROS:48.6392,-96.2221_-96.2221_48.6392",48.6392,-96.2221,500.527539131306,500.527539131306,1618.63357969505,4111.02882345958,4822.06945945521,146,419.6,1091.2,1565.3,1505.8,"Crops"
"Nouragues_-52.666667_4.083333",4.083333,-52.666667,381.359718305886,820.800600448438,1612.14354207857,2671.70064973788,4051.0218510808,16.8,31.9,58.2,84.4,112,"Tropical/Subtropical forests"
"Swiss Alps_7.92_46.25",46.25,7.92,243.040998659136,NA,NA,NA,NA,64.3,102.7,176.1,159,157.8,"Mediterranean/Montane shrublands"
"Auchencorth Moss_-3.243056_55.792778",55.792778,-3.243056,11.097055236862,10.4077935876977,10.9393081606049,83.4653734816578,10.7925086072496,28.9,61.4,128.6,151.7,222.4,"Crops"
"Solling_9.566667_51.516667",51.516667,9.566667,254.061603578201,313.357582032515,NA,NA,NA,31.5,52.2,112.1,129,140.1,"Temperate forests"
"Inabu_137.57_35.22",35.22,137.57,156.348154108875,313.357582032515,313.357582032515,NA,NA,29.7,73.5,164.7,209.9,240.9,"Temperate forests"
"Adventdalen Valley_16.1_78.17",78.17,16.1,2918.39430597225,10001.463227429,NA,NA,NA,171.5,774.2,0,0,0,"Tundra"
"Baram Basin_114.3052778_4.47777778",4.47777778,114.3052778,440.166785724437,579.711977674183,749.955484216546,945.155234978041,1409.20678541655,120.1,467.9,1408.5,1725.1,1882.5,"Tropical/Subtropical forests"
"Baram Basin_114.3158333_4.45888889",4.45888889,114.3158333,316.28203996215,471.886857637724,780.759044760784,1178.50103008666,1529.44757648686,114.1,441.3,1368.3,1656.9,1809,"Tropical/Subtropical forests"
"Catalina CZO desert_-110.839755_32.555896",32.555896,-110.839755,97.9532452432008,308.633785435319,NA,NA,NA,18.7,40,51.5,66.5,88.5,"Deserts"
"Catalina CZO ponderosa_-110.744095_32.450616",32.450616,-110.744095,16.9724523209466,13.1973043462822,NA,NA,NA,11,22.2,32.8,45.3,60.9,"Tropical/Subtropical forests"
"Catalina CZO conifer_-110.765501_32.4261",32.4261,-110.765501,196.597207513708,306.163678688762,314.115150628975,314.115150628975,314.115150628975,11.3,22.7,33,46.1,62.1,"Tropical/Subtropical forests"
"Natla_-128.5_63.3",63.3,-128.5,3933.39909786105,4284.52482486642,5616.40017671036,7317.39927612831,9232.78509151648,88.6,195.3,348.2,446.5,824.9,"Tundra"
"Donnely Flats_-145_63",63,-145,311.089922791162,311.089922791162,311.089922791162,NA,NA,403.7,1676.2,15768.9,23388.8,31900.6,"Tundra"
"Kattinkar Forest_74.73889_13.94694",13.94694,74.73889,74.5105002582046,233.65090924808,299.302880539104,299.302880539104,299.302880539104,15.3,20.7,28.5,34.3,39.6,"Tropical/Subtropical forests"
"Kohala_-155.671522_20.059375",20.059375,-155.671522,614.198297246249,774.322483374966,1136.37902254841,1527.92988760814,1886.3083071439,28.6,76.6,207,334.3,416.5,"Tropical/Subtropical forests"
"Mauna Kea_-155.258817_19.743842",19.743842,-155.258817,2062.87758524787,2062.87758524787,2062.87758524787,2062.87758524787,2398.16794331987,28.5,78.7,201.7,320.6,390.9,"Tropical/Subtropical forests"
"Maka'alia_-155.5986_19.1869",19.1869,-155.5986,2349.2952225683,2349.2952225683,2946.26901909387,4466.0349912908,6794.94828757309,30.3,73.5,186.5,286.7,314.9,"Tropical/Subtropical forests"
